integrador,dias,error_relativo_energia
rk4,2800,1.9892e-09
rk4,2850,1.96473e-09
rk4,2900,2.05392e-09
rk4,2950,2.01545e-09
rk4,3000,2.11651e-09
rk4,3050,2.15581e-09
rk4,3100,2.17545e-09
rk4,3150,2.2371e-09
rk4,3200,2.22012e-09
rk4,3250,2.30294e-09
rk4,3300,2.25493e-09
rk4,3350,2.36539e-09
rk4,3400,2.39744e-09
rk4,3450,2.4256e-09
rk4,3500,2.4849e-09
rk4,3550,2.47391e-09
rk4,3600,2.55154e-09
rk4,3650,2.50029e-09
rk4,3700,2.61461e-09
rk4,3750,2.63672e-09
rk4,3800,2.67503e-09
rk4,3850,2.73227e-09
rk4,3900,2.72704e-09
rk4,3950,2.80025e-09
rk4,4000,2.75067e-09
rk4,4050,2.86346e-09
rk4,4100,2.87387e-09
rk4,4150,2.92471e-09
rk4,4200,2.97897e-09
rk4,4250,2.97878e-09
rk4,4300,3.04884e-09
rk4,4350,3.0054e-09
rk4,4400,3.11245e-09
rk4,4450,3.10845e-09
rk4,4500,3.17395e-09
rk4,4550,3.2253e-09
rk4,4600,3.23027e-09
rk4,4650,3.29719e-09
rk4,4700,3.26152e-09
rk4,4750,3.3614e-09
rk4,4800,3.34235e-09
rk4,4850,3.42328e-09
rk4,4900,3.47031e-09
rk4,4950,3.48091e-09
rk4,5000,3.54572e-09
rk4,5050,3.51822e-09
rk4,5100,3.61019e-09
rk4,5150,3.5766e-09
rk4,5200,3.67254e-09
rk4,5250,3.71455e-09
rk4,5300,3.73129e-09
rk4,5350,3.79362e-09
rk4,5400,3.77377e-09
rk4,5450,3.85921e-09
rk4,5500,3.81446e-09
rk4,5550,3.92154e-09
rk4,5600,3.9567e-09
rk4,5650,3.98135e-09
rk4,5700,4.04172e-09
rk4,5750,4.02829e-09
rk4,5800,4.10774e-09
rk4,5850,4.05716e-09
rk4,5900,4.17079e-09
rk4,5950,4.19721e-09
rk4,6000,4.23097e-09
rk4,6050,4.289e-09
rk4,6100,4.28165e-09
rk4,6150,4.35666e-09
rk4,6200,4.3057e-09
rk4,6250,4.41955e-09
rk4,6300,4.43507e-09
rk4,6350,4.48071e-09
rk4,6400,4.53623e-09
rk4,6450,4.53385e-09
rk4,6500,4.60505e-09
rk4,6550,4.55892e-09
rk4,6600,4.66876e-09
rk4,6650,4.67074e-09
rk4,6700,4.72991e-09
rk4,6750,4.78259e-09
rk4,6800,4.78561e-09
rk4,6850,4.85376e-09
rk4,6900,4.81463e-09
rk4,6950,4.91749e-09
rk4,7000,4.90477e-09
rk4,7050,4.9795e-09
rk4,7100,5.02829e-09
rk4,7150,5.03636e-09
rk4,7200,5.10207e-09
rk4,7250,5.07144e-09
rk4,7300,5.16659e-09
rk4,7350,5.13851e-09
rk4,7400,5.22853e-09
rk4,7450,5.27292e-09
rk4,7500,5.28712e-09
rk4,7550,5.35032e-09
rk4,7600,5.32731e-09
rk4,7650,5.41535e-09
rk4,7700,5.37478e-09
rk4,7750,5.47786e-09
rk4,7800,5.51586e-09
rk4,7850,5.53703e-09
rk4,7900,5.59837e-09
rk4,7950,5.58253e-09
rk4,8000,5.66416e-09
rk4,8050,5.61509e-09
rk4,8100,5.72683e-09
rk4,8150,5.75725e-09
rk4,8200,5.78703e-09
rk4,8250,5.84587e-09
rk4,8300,5.83606e-09
rk4,8350,5.91293e-09
rk4,8400,5.86156e-09
rk4,8450,5.97585e-09
rk4,8500,5.99596e-09
rk4,8550,6.03656e-09
rk4,8600,6.09332e-09
rk4,8650,6.08894e-09
rk4,8700,6.16143e-09
rk4,8750,6.11283e-09
rk4,8800,6.22491e-09
rk4,8850,6.23276e-09
rk4,8900,6.28606e-09
rk4,8950,6.33983e-09
rk4,9000,6.34072e-09
